# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
7071.51367781 4.86683671137e-08 1.08747005204e-07 1.25340867565e-08 -9.92817439576e-08
7121.31306991 9.03112296351e-08 7.81454497637e-08 4.75578511309e-08 -8.10431493994e-08
7171.11246201 1.83528169624e-07 1.79841795252e-07 2.96774293245e-08 -1.42691577717e-07
7220.9118541 2.25910884109e-07 1.28943727509e-07 6.44025370191e-08 -1.34736823272e-07
7270.7112462 2.14136048793e-07 9.93272533819e-08 4.19994186614e-08 -1.73378804111e-07
7320.5106383 2.09662844931e-07 6.94262839437e-08 -4.87087797646e-09 -1.66766835003e-07
7370.3100304 1.9618473752e-07 5.23269708876e-08 -5.49046699233e-09 -1.71891145425e-07
7420.10942249 1.67038438822e-07 4.44109489364e-08 -6.18476787725e-08 -1.77288616336e-07
7469.90881459 1.58838961787e-07 6.26900841504e-08 -8.94475067806e-08 -9.38612435977e-08
7519.70820669 1.41905208601e-07 8.1353182444e-08 -3.94376488569e-08 -4.85750631749e-08
7569.50759878 1.43694333996e-07 9.31222380065e-08 -2.67507235529e-08 -5.61710328128e-08
7619.30699088 1.64175907107e-07 9.71321451603e-08 -3.94138055403e-08 -6.12824463547e-08
7669.10638298 5.01218245371e-08 1.22219575945e-07 -1.58092271932e-08 6.35967509855e-08
7718.90577508 2.12014350781e-07 2.13070540842e-07 8.77930528292e-08 -8.47176620805e-08
7768.70516717 2.9015324921e-07 2.07823028885e-07 6.95505137568e-08 -1.50692366537e-07
7818.50455927 3.47067424034e-07 1.55472379398e-07 3.83133253768e-08 -1.8610060037e-07
7868.30395137 3.66729051758e-07 8.00639378954e-08 -3.94013581195e-08 -1.98481100454e-07
7918.10334347 3.31220952269e-07 1.27464543874e-08 -9.35314887812e-08 -1.48132592442e-07
7967.90273556 2.65987486012e-07 -7.60418994288e-09 -1.08924379509e-07 -1.187825828e-07
8017.70212766 2.22120647341e-07 8.83658516884e-09 -1.27498353794e-07 -8.51101544172e-08
8067.50151976 2.45568630446e-07 9.65392784736e-08 -9.82769627133e-08 -6.58833879667e-08
8117.30091185 3.03605419421e-07 7.2819591336e-08 -1.35451903402e-07 -3.51840090534e-08
8167.10030395 3.21435163754e-07 2.36759525948e-08 -1.2311407284e-07 -1.16499632481e-08
-8167.10030395 3.21435163754e-07 -2.36759525948e-08 -1.2311407284e-07 1.16499632481e-08
-8117.30091185 3.03605419421e-07 -7.2819591336e-08 -1.35451903402e-07 3.51840090534e-08
-8067.50151976 2.45568630446e-07 -9.65392784736e-08 -9.82769627133e-08 6.58833879667e-08
-8017.70212766 2.22120647341e-07 -8.83658516884e-09 -1.27498353794e-07 8.51101544172e-08
-7967.90273556 2.65987486012e-07 7.60418994288e-09 -1.08924379509e-07 1.187825828e-07
-7918.10334347 3.31220952269e-07 -1.27464543874e-08 -9.35314887812e-08 1.48132592442e-07
-7868.30395137 3.66729051758e-07 -8.00639378954e-08 -3.94013581195e-08 1.98481100454e-07
-7818.50455927 3.47067424034e-07 -1.55472379398e-07 3.83133253768e-08 1.8610060037e-07
-7768.70516717 2.9015324921e-07 -2.07823028885e-07 6.95505137568e-08 1.50692366537e-07
-7718.90577508 2.12014350781e-07 -2.13070540842e-07 8.77930528292e-08 8.47176620805e-08
-7669.10638298 5.01218245371e-08 -1.22219575945e-07 -1.58092271932e-08 -6.35967509855e-08
-7619.30699088 1.64175907107e-07 -9.71321451603e-08 -3.94138055403e-08 6.12824463547e-08
-7569.50759878 1.43694333996e-07 -9.31222380065e-08 -2.67507235529e-08 5.61710328128e-08
-7519.70820669 1.41905208601e-07 -8.1353182444e-08 -3.94376488569e-08 4.85750631749e-08
-7469.90881459 1.58838961787e-07 -6.26900841504e-08 -8.94475067806e-08 9.38612435977e-08
-7420.10942249 1.67038438822e-07 -4.44109489364e-08 -6.18476787725e-08 1.77288616336e-07
-7370.3100304 1.9618473752e-07 -5.23269708876e-08 -5.49046699233e-09 1.71891145425e-07
-7320.5106383 2.09662844931e-07 -6.94262839437e-08 -4.87087797646e-09 1.66766835003e-07
-7270.7112462 2.14136048793e-07 -9.93272533819e-08 4.19994186614e-08 1.73378804111e-07
-7220.9118541 2.25910884109e-07 -1.28943727509e-07 6.44025370191e-08 1.34736823272e-07
-7171.11246201 1.83528169624e-07 -1.79841795252e-07 2.96774293245e-08 1.42691577717e-07
-7121.31306991 9.03112296351e-08 -7.81454497637e-08 4.75578511309e-08 8.10431493994e-08
-7071.51367781 4.86683671137e-08 -1.08747005204e-07 1.25340867565e-08 9.92817439576e-08
-7021.71428571 8.44359575066e-08 -1.23455299252e-07 -9.35229781344e-08 1.13793112769e-07
-6971.91489362 1.27151627112e-07 2.69394866205e-08 -8.44613065726e-10 2.20296128117e-07
-6922.11550152 2.40377363721e-07 -5.14648721448e-08 -7.24394849934e-08 1.91335808412e-07
-6872.31610942 2.50028719536e-07 -5.36153102205e-08 -3.26280715176e-08 3.04618242433e-07
-6822.51671733 2.25623740332e-07 -9.29015533024e-08 8.74919890526e-09 2.37034235019e-07
-6772.71732523 1.96795808308e-07 5.9359618842e-09 -5.81836826819e-08 2.97630621039e-07
-6722.91793313 4.04408248677e-07 -3.076434003e-08 -1.53663096422e-09 4.0711325957e-07
-6673.11854103 3.1604818241e-07 -1.54299845222e-07 7.10837347984e-08 4.0934311766e-07
-6623.31914894 3.39390078263e-07 -1.33013292654e-07 1.15368684438e-07 4.11448225324e-07
-6573.51975684 3.63744354086e-07 -1.33314440765e-07 1.42050913182e-07 3.96166671322e-07
-6523.72036474 4.42748474725e-07 -1.81086753657e-07 1.82975667624e-07 4.61916540445e-07
-6473.92097264 4.64750573354e-07 -2.89049841279e-07 3.08490797026e-07 4.34606374051e-07
