                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       5113.41547016       19.5148678926       20.5480241206       18.8610076008       18.3909232108       18.8057054607       18.1134528508       20.5834431029       18.5287998457       18.5906161702       18.2568065645       18.9380367119       18.2090019536       20.0281613585
       5129.60744851       19.5109506127       20.5438153857       18.8574667114       18.3879424812       18.8022109596       18.1114634458       20.5792276868       18.5256036918       18.5873412857        18.254126758       18.9344364018       18.2064729504       20.0240716281
       5145.85069986         19.50703698       20.5396097596       18.8539301904       18.3849672155       18.7987209171       18.1094814302       20.5750153673       18.5224125791       18.5840712882       18.2514530046       18.9308403449       18.2039502947       20.0199852234
       5162.14538657       19.5031258424       20.5354060415       18.8503969322       18.3819963392       18.7952342318       18.1075056618       20.5708049426       18.5192254272       18.5808050932       18.2487842266       18.9272474296       18.2014329013       20.0159009648
       5178.49167152       19.4992200307       20.5312067553       18.8468701706       18.3790337012       18.7917541878       18.1055411274       20.5665989295       18.5160458458       18.5775462238       18.2461246112       18.9236608256       18.1989251293       20.0118215009
       5194.88971809        19.495317663       20.5270102057       18.8433477921       18.3760768651       18.7882786439       18.1035848887       20.5623956372       18.5128715197       18.5742924101       18.2434715601       18.9200784553       18.1964243022       20.0077450597
       5211.33969019       19.4914167615       20.5228149333       18.8398271155       18.3731220259       18.7848048293       18.1016309195       20.5581936177       18.5096990872       18.5710404488       18.2408206257       18.9164977511       18.1939256401       20.0036699727
       5227.84175225        19.487522008       20.5186250065       18.8363136435       18.3701759726       18.7813383503       18.0996884737       20.5539969257       18.5065348333       18.5677964438       18.2381793197       18.9129240839       18.1914370254       19.9996005563
       5244.39606922       19.4836320245       20.5144389894       18.8328060956        18.367237619       18.7778779402       18.0977569655       20.5498041241       18.5033775899       18.5645591991       18.2355466864       18.9093561559       18.1889575747       19.9955353967
       5261.00280655       19.4797441405       20.5102544444       18.8293014665       18.3643033868       18.7744205497       18.0958315669       20.5456127803         18.50022401       18.5613254491       18.2329188004       18.9057910176       18.1864831779       19.9914719637
       5277.66213025       19.4758602566         20.50607325       18.8258016861       18.3613752491       18.7709681123       18.0939143283       20.5414247726       18.4970760502        18.558097144       18.2302976583        18.902230594       18.1840158438       19.9874121448
       5294.37420684       19.4719806097        20.501895664       18.8223069761       18.3584534327       18.7675208488       18.0920055755        20.537240359       18.4939339312       18.5548745037       18.2276835042       18.8986751083        18.181555829       19.9833561885
       5311.13920335       19.4681051983       20.4977216287       18.8188174018       18.3555380896       18.7640788323       18.0901055713       20.5330594808       18.4907977734       18.5516576366       18.2250765297       18.8951246158        18.179103343       19.9793040602
       5327.95728737       19.4642323975       20.4935497592       18.8153310065       18.3526267186       18.7606400634       18.0882106944       20.5288807582       18.4876652927       18.5484443354       18.2224739152       18.8915772139       18.1766553997        19.975254279
       5344.82862699          19.4603644       20.4893817429       18.8118506812       18.3497233528       18.7572075229       18.0863273101       20.5247058674       18.4845400679       18.5452380177       18.2198803593       18.8880356797        18.174217045       19.9712087348
       5361.75339086       19.4565012036       20.4852177841       18.8083761489       18.3468272864       18.7537808992       18.0844538956       20.5205350173        18.481421561       18.5420382058       18.2172949162       18.8844997803       18.1717872103       19.9671675484
       5378.73174815       19.4526419998       20.4810572294       18.8049063584       18.3439370152       18.7503591079       18.0825878659        20.516367558       18.4783084554       18.5388436475       18.2147157912        18.880968506       18.1693639429       19.9631300062
       5395.76386856       19.4487850061       20.4768983123        18.801439542       18.3410508699       18.7469403858       18.0807279596       20.5122017234       18.4751990327       18.5356526101       18.2121414072       18.8774400842       18.1669457224       19.9590943325
       5412.84992234       19.4449315566       20.4727422646       18.7979771716       18.3381705406       18.7435262223       18.0788762901       20.5080387432       18.4720948973       18.5324666671        18.209573578       18.8739159645       18.1645344261       19.9550618005
       5429.99008028       19.4410840613       20.4685912828       18.7945219015       18.3352989739       18.7401192993       18.0770360998       20.5038808086       18.4689988939       18.5292886227       18.2070153701       18.8703987651       18.1621331707       19.9510346961
       5447.18451369       19.4372389968       20.4644424424       18.7910694572       18.3324308294       18.7367152515       18.0752003267       20.4997250089       18.4659060843       18.5261136881       18.2044608978       18.8668843282       18.1597358047       19.9470098487
       5464.43339445       19.4333979016       20.4602967123       18.7876221223       18.3295695182        18.733316455       18.0733744334       20.4955723003       18.4628194432       18.5229446795       18.2019141875       18.8633748193       18.1573466651       19.9429884589
       5481.73689496       19.4295642031       20.4561571738       18.7841837427       18.3267194455       18.7299268052       18.0715636106       20.4914257558       18.4597431703       18.5197857184       18.1993799107       18.8598740203       18.1549705481       19.9389737516
       5499.09518819       19.4257307956       20.4520177028       18.7807459556       18.3238704025        18.726537785       18.0697544697       20.4872792739        18.456667763       18.5166275613       18.1968468814        18.856373766       18.1525957816       19.9349592011
       5516.50844763        19.421901063       20.4478814627       18.7773124479       18.3210265669       18.7231531203       18.0679521763        20.483136013       18.4535972042       18.5134741221       18.1943195609       18.8528776943       18.1502269744       19.9309480594
       5533.97684735       19.4180775378       20.4437504063       18.7738864769       18.3181922207       18.7197761556       18.0661626554       20.4789979126       18.4505353901       18.5103291531       18.1918027534       18.8493889496       18.1478691848       19.9269425177
       5551.50056194       19.4142572135       20.4396218551       18.7704646275       18.3153633735       18.7164034268       18.0643810001       20.4748623017       18.4474785465        18.507188961       18.1892921762       18.8459041803       18.1455179883       19.9229397625
       5569.07976657       19.4104390558         20.43549486       18.7670457514       18.3125386996       18.7130337711       18.0626055515       20.4707282332       18.4444254171       18.5040523143       18.1867864051       18.8424222564       18.1431719102       19.9189388104
       5586.71463695       19.4066276793        20.431373688       18.7636349099       18.3097239177       18.7096723047       18.0608431609       20.4665999661        18.441381469       18.5009245878        18.184291507        18.838948169       18.1408371908       19.9149440701
